"quality","radius","falling","offset_sign","offset_power","mu","gpu_status","gpu_phi","cpu_status","cpu_phi","raw_error"
"FINE","8.0","true","-1","4","-0.97724724","0.0","1.0","0","NaN","NaN"
"FINE","8.0","true","1","4","-0.9770472","1.0","8.579208","1","8.579368215126388","1.5984110295086396E-4"
"FINE","8.0","true","-1","5","-0.97715724","0.0","1.0","0","NaN","NaN"
"FINE","8.0","true","1","5","-0.9771372","1.0","10.876231","1","10.874773834917322","0.0014573586251582782"
"FINE","8.0","true","-1","6","-0.97714823","0.0","1.0","0","NaN","NaN"
"FINE","8.0","true","1","6","-0.9771462","1.0","13.1603775","1","13.163236331536439","0.0028588290950324335"
"FINE","8.0","true","-1","7","-0.97714734","0.0","1.0","0","NaN","NaN"
"FINE","8.0","true","1","7","-0.9771471","1.0","15.398248","1","15.290107722095541","0.10813999671549368"
"FINE","1.0","true","-1","2","-0.7519355","0.0","1.0","0","NaN","NaN"
"FINE","1.0","true","1","2","-0.7319355","1.0","5.2115088","1","5.21151728507785","8.534162322604288E-6"
"FINE","1.0","true","-1","3","-0.7429355","0.0","1.0","0","NaN","NaN"
"FINE","1.0","true","1","3","-0.7409355","1.0","7.5290003","1","7.5293372192478465","3.369369602488348E-4"
"FINE","1.0","true","-1","4","-0.7420355","0.0","1.0","0","NaN","NaN"
"FINE","1.0","true","1","4","-0.7418355","1.0","9.831865","1","9.834635021211115","0.00276971054216979"
"FINE","1.0","true","-1","5","-0.7419455","0.0","1.0","0","NaN","NaN"
"FINE","1.0","true","1","5","-0.7419255","1.0","12.132089","1","12.137131110240835","0.005042449046987585"
"FINE","1.0","true","-1","6","-0.7419365","0.0","1.0","0","NaN","NaN"
"FINE","1.0","true","1","6","-0.7419345","1.0","14.413558","1","14.43478638027596","0.021228373989339744"
"FINE","1.0","true","-1","7","-0.7419356","0.0","1.0","0","NaN","NaN"
"FINE","1.0","true","1","7","-0.7419354","2.0","1.0","1","16.633931580684155","NaN"
"FINE","0.7067775","true","-1","2","-0.6811601","0.0","1.0","0","NaN","NaN"
"FINE","0.7067775","true","1","2","-0.6611601","1.0","5.1004863","1","5.100471631324824","1.4647209111373627E-5"
"FINE","0.7067775","true","-1","3","-0.6721601","0.0","1.0","0","NaN","NaN"
"FINE","0.7067775","true","1","3","-0.6701601","1.0","7.4416304","1","7.440691627469925","9.387359944303952E-4"
"FINE","0.7067775","true","-1","4","-0.6712601","0.0","1.0","0","NaN","NaN"
"FINE","0.7067775","true","1","4","-0.6710601","1.0","9.754997","1","9.749689704641316","0.005307548776652737"
"FINE","0.7067775","true","-1","5","-0.6711701","0.0","1.0","0","NaN","NaN"
"FINE","0.7067775","true","1","5","-0.6711501","1.0","12.131613","1","12.052194956658713","0.07941782105124773"
"FINE","0.7067775","true","-1","6","-0.6711611","0.0","1.0","0","NaN","NaN"
"FINE","0.7067775","true","1","6","-0.6711591","1.0","14.2244215","1","14.34486918456855","0.1204476834088819"
"FINE","0.7067775","true","-1","7","-0.6711602","0.0","1.0","0","NaN","NaN"
"FINE","0.7067775","true","1","7","-0.67116","1.0","15.296641","1","16.500129602964858","1.2034882531723774"
"FINE","0.35","true","-1","2","-0.5337132","0.0","1.0","0","NaN","NaN"
"FINE","0.35","true","1","2","-0.51371324","1.0","4.6446514","1","4.644648215844274","3.1971195930680096E-6"
"FINE","0.35","true","-1","3","-0.5247132","0.0","1.0","0","NaN","NaN"
"FINE","0.35","true","1","3","-0.52271324","1.0","7.039832","1","7.040260693478565","4.285783052253578E-4"
"FINE","0.35","true","-1","4","-0.52381325","0.0","1.0","0","NaN","NaN"
"FINE","0.35","true","1","4","-0.5236133","1.0","9.366961","1","9.361129236000972","0.005831289511723625"
"FINE","0.35","true","-1","5","-0.52372324","0.0","1.0","0","NaN","NaN"
"FINE","0.35","true","1","5","-0.5237032","1.0","11.647041","1","11.663120881650359","0.016079560849577845"
"FINE","0.35","true","-1","6","-0.52371424","0.0","1.0","0","NaN","NaN"
"FINE","0.35","true","1","6","-0.5237122","2.0","1.0","1","13.940251515531822","NaN"
"FINE","0.35","true","-1","7","-0.52371335","0.0","1.0","0","NaN","NaN"
"FINE","0.35","true","1","7","-0.5237132","2.0","1.0","1","16.552907694865","NaN"
